target,filename,cls,decl_max,decl_over_size,decl_exceeds,decl_gt16,decl_gt31,decl_trunc16_zero,unbalanced,unbalanced_abs,max_depth,unclosed_quote,dangling_escape,quote_count,escape_count,open_comment,ends_in_escape,ends_in_quote,size,printable,digits,nulls,max_run,max_token,entropy,high_bytes
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1729abd5__5333ca62e3c524d8.png,READ,4244833284,1000000.0,200,102,22,24,-1,1,0,1,0,3,0,0,0,0,259,0.416988416988417,0.011583011583011582,38,10,70,5.733013326698688,0.24324324324324326
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172aaca1__21766bf2e2da068e.png,READ,3910979246,1000000.0,211,111,18,17,0,0,0,0,0,0,0,0,0,0,159,0.5220125786163522,0.006289308176100629,27,12,26,5.127800882933681,0.11949685534591195
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172ab7d8__ef6ab59367cb5fa3.png,READ,4244833284,1000000.0,208,102,22,24,0,0,0,0,0,0,0,0,0,0,195,0.28717948717948716,0.005128205128205128,48,7,45,4.660341501548889,0.17435897435897435
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172ab834__1b0e9948284c782f.png,DoS,4294967295,1000000.0,227,115,44,3,1,1,1,0,0,0,0,0,0,0,63,0.30158730158730157,0.0,7,10,23,3.7738537200681854,0.3492063492063492
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172ac15b__a98508a342d9c41c.png,DoS,4194369537,1000000.0,227,116,9,4,0,0,0,0,0,0,0,0,0,0,150,0.76,0.1,16,7,43,5.438860861522158,0.07333333333333333
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172b54f6__071b8294e1d6c0fe.png,DoS,4290118633,1000000.0,116,61,11,3,1,1,1,0,0,0,0,0,0,0,36,0.1388888888888889,0.027777777777777776,8,4,16,3.2817536555801707,0.19444444444444445
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172b5972__33e1baa89d34fee3.png,WRITE,4294934532,1000000.0,220,111,21,3,0,0,0,0,0,0,0,0,0,0,61,0.08196721311475409,0.0,7,7,21,3.328215303205179,0.18032786885245902
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172bab69__b54e805e0a242866.png,DoS,4282861496,1000000.0,226,113,26,15,0,0,0,1,0,1,0,0,0,0,187,0.6417112299465241,0.0213903743315508,24,7,56,5.310853439164939,0.1443850267379679
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172bac1b__84359734e8016e87.png,READ,4294903814,1000000.0,244,126,39,2,0,0,0,0,0,0,0,0,0,0,132,0.2878787878787879,0.015151515151515152,29,7,48,4.632006600039685,0.25
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172bae81__e19323bfe8095a19.png,DoS,4292873668,1000000.0,216,112,46,16,0,0,0,0,0,4,0,0,0,0,452,0.7433628318584071,0.03982300884955752,33,12,52,5.910189872282072,0.10619469026548672
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172bb3c7__57b2b65a2dc4234a.png,READ,4282731849,1000000.0,240,124,28,4,0,0,0,0,0,0,0,0,0,0,157,0.2929936305732484,0.012738853503184714,33,8,74,4.871485992572683,0.2356687898089172
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172bb876__63afe71c030cfdfe.png,READ,4286556170,1000000.0,237,124,27,4,0,0,0,0,0,0,0,0,0,0,186,0.25268817204301075,0.010752688172043012,29,7,92,5.110380172645153,0.3279569892473118
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172bbd55__a21c0e87ef49c917.png,READ,4282731849,1000000.0,237,124,30,4,0,0,0,0,0,0,0,0,0,0,149,0.2550335570469799,0.013422818791946308,32,7,74,4.870395696279307,0.2684563758389262
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172c2b32__7927354f1f2c2e93.png,DoS,11111111111,1000000.0,238,127,15,2,-5,5,0,0,0,2,0,0,0,0,393,0.6921119592875318,0.061068702290076333,35,13,50,5.522889855996243,0.10432569974554708
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172cac28__42489b92b3277d44.png,DoS,4261143266,1000000.0,216,118,34,10,0,0,0,0,0,2,0,0,0,0,403,0.5161290322580645,0.01488833746898263,66,8,45,5.728547113173345,0.20843672456575682
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172d3f6a__dd23298c4009bbd8.png,DoS,4293656585,1000000.0,144,74,12,0,0,0,0,0,0,0,0,0,0,0,41,0.0975609756097561,0.0,4,10,18,2.758100117175038,0.14634146341463414
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172d405f__fbc1c327390d8ed4.png,WRITE,4281113240,1000000.0,228,116,15,10,0,0,0,0,0,0,0,0,0,0,185,0.31351351351351353,0.016216216216216217,30,12,29,4.907196859337247,0.1837837837837838
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172dab0c__d9809b4e9fac9b78.png,READ,4294967256,1000000.0,211,114,44,14,0,0,0,0,0,2,0,0,0,0,415,0.5132530120481927,0.007228915662650603,69,12,53,5.774369002554558,0.20722891566265061
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172dab0f__b0cbdff9cf3d6785.png,DoS,4261137612,1000000.0,214,116,50,12,0,0,0,1,0,1,0,0,0,0,311,0.4565916398713826,0.00964630225080386,48,14,77,5.759038605701535,0.2090032154340836
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172db7d8__202c6fd6a8bc0f67.png,DoS,3770400551,1000000.0,225,116,6,4,0,0,0,0,0,0,0,0,0,0,183,0.7978142076502732,0.16393442622950818,16,16,55,5.3283051571760875,0.060109289617486336
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172deca8__7d00ec15d939c525.png,WRITE,4278720769,1000000.0,97,49,9,5,0,0,0,0,0,0,0,0,0,0,31,0.2903225806451613,0.0,5,3,28,3.7409821015340747,0.16129032258064516
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172e5edb__dcaa4293b673c528.png,WRITE,4294443008,1000000.0,64,33,6,3,0,0,0,0,0,0,0,0,0,0,22,0.0,0.0,5,6,19,2.313100666415769,0.13636363636363635
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172eb613__1b4d405ce2171213.png,READ,4294903814,1000000.0,244,126,32,2,0,0,0,0,0,0,0,0,0,0,148,0.22972972972972974,0.013513513513513514,30,8,63,4.750894247701346,0.25
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172eb756__c5cb1e9504376e7d.png,READ,4282731849,1000000.0,240,124,28,4,0,0,0,0,0,0,0,0,0,0,157,0.28662420382165604,0.006369426751592357,33,8,74,4.902555040716489,0.2611464968152866
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+172eb8cf__baf3877b6db611a9.png,READ,4282741619,1000000.0,240,124,28,4,0,0,0,0,0,0,0,0,0,0,157,0.2802547770700637,0.012738853503184714,31,10,125,4.867181527462277,0.2802547770700637
