target,filename,cls,decl_max,decl_over_size,decl_exceeds,decl_gt16,decl_gt31,decl_trunc16_zero,unbalanced,unbalanced_abs,max_depth,unclosed_quote,dangling_escape,quote_count,escape_count,open_comment,ends_in_escape,ends_in_quote,size,printable,digits,nulls,max_run,max_token,entropy,high_bytes
frozen,read-0076,READ,2054758499,10312.101953758212,131,133,0,0,0,0,0,1,1,1,1,0,1,0,199257,1.0,0.3632143412778472,0,5,128,3.459551129383665,0.0
frozen,read-0077,READ,2065850658,12695.270933962613,133,133,0,0,1,1,1,1,1,3,1,0,1,0,162726,1.0,0.364047540036626,0,6,120,3.4599096674020244,0.0
frozen,read-0078,READ,2065856610,14760.33588168048,130,130,0,0,1,1,1,1,1,3,1,0,1,0,139960,1.0,0.36363246641897684,0,5,109,3.460112128417588,0.0
frozen,read-0079,READ,2054846585,28024.966381168,136,136,0,0,1,1,1,1,1,1,1,0,1,0,73322,1.0,0.3643654019257522,0,5,133,3.4599751566043815,0.0
frozen,read-0080,READ,2054846585,18035.72819752133,131,131,0,0,1,1,1,1,1,1,1,0,1,0,113932,1.0,0.3646824421584805,0,6,122,3.459741652191945,0.0
frozen,read-0081,READ,2065851490,103816.84959043168,212,134,0,0,1,1,1,1,1,3,1,0,1,0,19899,1.0,0.36504346952108147,0,7,87,3.463032828771532,0.0
frozen,read-0082,READ,2065857146,19422.339547783577,130,131,0,0,1,1,1,1,1,3,1,0,1,0,106365,1.0,0.36394490668923046,0,7,92,3.460418265283271,0.0
frozen,read-0083,READ,2054775138,51945.97881484478,132,132,0,0,1,1,1,1,1,1,1,0,1,0,39556,1.0,0.3682879967640813,0,6,84,3.460165210255302,0.0
frozen,read-0084,READ,2065850658,15661.53668521523,129,129,0,0,1,1,1,1,1,3,1,0,1,0,131906,1.0,0.3625233120555547,0,5,99,3.4600432201784517,0.0
frozen,read-0085,READ,2054846586,30349.997577726903,136,136,0,0,0,0,0,1,1,1,1,0,1,0,67705,1.0,0.3660290968170741,0,5,108,3.45977483558137,0.0
frozen,read-0086,READ,2065856634,39652.51989481564,136,136,0,0,1,1,1,1,1,3,1,0,1,0,52099,1.0,0.3622718286339469,0,5,103,3.4605072782356423,0.0
frozen,read-0087,READ,2065851513,13798.92935722826,130,131,0,0,1,1,1,1,1,3,1,0,1,0,149711,1.0,0.36415493851487196,0,5,118,3.4600603477481866,0.0
frozen,read-0088,READ,2053333859,20632.37398512862,129,129,0,0,1,1,1,1,1,1,1,0,1,0,99520,1.0,0.3641077170418006,0,6,86,3.459816644664283,0.0
frozen,read-0089,READ,20031121020,361240.032100413,134,134,1,0,0,0,0,1,1,1,1,0,1,0,55451,1.0,0.36006564354114445,0,5,75,3.4597801603203657,0.0
frozen,read-0090,READ,2054697265,13344.876338743514,130,131,0,0,0,0,0,1,1,1,1,0,1,0,153969,1.0,0.36265092323779463,0,6,101,3.4595894608071274,0.0
frozen,read-0091,READ,2054841138,38605.96584376057,133,133,0,0,0,0,0,1,1,1,1,0,1,0,53226,1.0,0.3630744373050765,0,6,91,3.459864066156791,0.0
frozen,read-0092,READ,2065851426,18540.120133541543,135,135,0,0,1,1,1,1,1,3,1,0,1,0,111426,1.0,0.36360454472026277,0,5,99,3.4602733937592256,0.0
frozen,read-0093,READ,2054781232,26759.145074751264,131,131,0,0,1,1,1,1,1,1,1,0,1,0,76788,1.0,0.3651482002396208,0,5,118,3.459868109177682,0.0
frozen,read-0094,READ,2065856802,34164.463881722564,132,132,0,0,1,1,1,1,1,3,1,0,1,0,60468,1.0,0.36654098035324467,0,5,122,3.4604708183578494,0.0
frozen,read-0095,READ,2054697080,61411.23438340606,130,130,0,0,1,1,1,1,1,1,1,0,1,0,33458,1.0,0.3659513419809911,0,5,98,3.4603942399320333,0.0
frozen,read-0096,READ,2054846562,30108.08307814034,133,133,0,0,0,0,0,1,1,1,1,0,1,0,68249,1.0,0.365324034051781,0,5,92,3.459743903322065,0.0
frozen,read-0097,READ,2054847097,33093.05552960881,136,136,0,0,0,0,0,1,1,1,1,0,1,0,62093,1.0,0.36466268339426344,0,5,110,3.4598411946521437,0.0
frozen,read-0098,READ,2054847027,12330.537165385516,133,133,0,0,1,1,1,1,1,1,1,0,1,0,166647,1.0,0.36219073850714384,0,6,104,3.459663474209966,0.0
frozen,read-0099,READ,2054846752,14118.194605142016,132,132,0,0,1,1,1,1,1,1,1,0,1,0,145546,1.0,0.36182375331510314,0,7,107,3.4597006075693075,0.0
frozen,read-0100,READ,12003302131,83826.03989720168,129,129,1,0,1,1,1,1,1,3,1,0,1,0,143193,1.0,0.3635373237518594,0,6,112,3.4600926574424506,0.0
frozen,read-0101,READ,3101311032,20683.54240667996,131,132,1,0,0,0,0,1,1,1,1,0,1,0,149941,1.0,0.365150292448363,0,6,93,3.459611189144469,0.0
frozen,read-0102,READ,2054840953,12330.500717084617,131,131,0,0,1,1,1,1,1,1,1,0,1,0,166647,1.0,0.3606905614862554,0,6,95,3.4596564112409105,0.0
frozen,read-0103,READ,2065856611,35001.46743587137,134,134,0,0,1,1,1,1,1,3,1,0,1,0,59022,1.0,0.36300023719968827,0,5,78,3.460913379086275,0.0
frozen,read-0104,READ,3112103112,46320.018932233914,139,139,1,0,1,1,1,1,1,1,1,0,1,0,67187,1.0,0.36341851846339324,0,5,91,3.46001120504062,0.0
frozen,read-0105,READ,2054828083,46710.19260757882,132,132,0,0,0,0,0,1,1,1,1,0,1,0,43991,1.0,0.36225591598281465,0,5,86,3.459851645832967,0.0
frozen,read-0106,READ,2065856611,18131.41016166687,132,132,0,0,1,1,1,1,1,3,1,0,1,0,113938,1.0,0.3626884796994857,0,6,89,3.4600991045785703,0.0
frozen,read-0107,READ,2065851489,19549.843277720473,130,131,0,0,1,1,1,1,1,3,1,0,1,0,105671,1.0,0.363410964219133,0,6,96,3.4602658797438934,0.0
frozen,read-0108,READ,2065850722,13776.93045681894,130,130,0,0,1,1,1,1,1,3,1,0,1,0,149950,1.0,0.36562854284761587,0,6,89,3.460071228219367,0.0
frozen,read-0109,READ,2054840674,45848.5580347182,135,135,0,0,1,1,1,1,1,1,1,0,1,0,44818,1.0,0.36460797001204875,0,6,91,3.460013175591957,0.0
frozen,read-0110,READ,2065851491,26900.859313757406,130,130,0,0,1,1,1,1,1,3,1,0,1,0,76795,1.0,0.36145582394687154,0,7,109,3.4605703935796184,0.0
frozen,read-0111,READ,2054763384,64311.843004694834,130,129,0,0,1,1,1,1,1,1,1,0,1,0,31950,1.0,0.36147104851330203,0,5,90,3.4604827485463603,0.0
frozen,read-0112,READ,2054775603,11967.103487437536,130,131,0,0,1,1,1,1,1,1,1,0,1,0,171702,1.0,0.3631699106591653,0,6,116,3.459658784150444,0.0
frozen,read-0113,READ,2065857122,17432.21657609613,134,135,0,0,1,1,1,1,1,3,1,0,1,0,118508,1.0,0.3632413001653897,0,6,84,3.46009584176677,0.0
frozen,read-0114,READ,2065851490,20209.658387219846,132,133,0,0,1,1,1,1,1,3,1,0,1,0,102221,1.0,0.36238150673540664,0,5,149,3.4603393036528716,0.0
frozen,read-0115,READ,2054697850,30582.23216146221,130,130,0,0,0,0,0,1,1,1,1,0,1,0,67186,1.0,0.36379602893459945,0,6,103,3.459801229916515,0.0
frozen,read-0116,READ,2065851000,64646.73300788584,130,129,0,0,1,1,1,1,1,3,1,0,1,0,31956,1.0,0.36556515208411566,0,5,86,3.461499012092149,0.0
frozen,read-0117,READ,2054846768,10432.865560852766,133,135,0,0,0,0,0,1,1,1,1,0,1,0,196959,1.0,0.3639183789519646,0,5,126,3.459571279584029,0.0
frozen,read-0118,READ,2065856868,75149.39497999272,168,135,0,0,1,1,1,1,1,3,1,0,1,0,27490,1.0,0.3608584939978174,0,5,94,3.46240004209983,0.0
frozen,read-0119,READ,2065856802,19423.06674438939,132,132,0,0,1,1,1,1,1,3,1,0,1,0,106361,1.0,0.36265172384614663,0,5,101,3.460117933465947,0.0
frozen,read-0120,READ,2054715769,32498.470051403718,136,136,0,0,0,0,0,1,1,1,1,0,1,0,63225,1.0,0.36253064452352707,0,5,93,3.459694687802402,0.0
frozen,read-0121,READ,2054709808,14914.491296836664,130,130,0,0,0,0,0,1,1,1,1,0,1,0,137766,1.0,0.36309394190148514,0,5,124,3.459584120274358,0.0
frozen,read-0122,READ,2054775600,12330.108552809232,133,136,0,0,1,1,1,1,1,1,1,0,1,0,166647,1.0,0.3642129771313015,0,6,93,3.459653958949111,0.0
frozen,read-0123,READ,2065850722,37546.586248886786,132,132,0,0,1,1,1,1,1,3,1,0,1,0,55021,1.0,0.36511513785645483,0,5,85,3.460799369308336,0.0
frozen,read-0124,READ,2054775416,54937.58130581252,134,134,0,0,1,1,1,1,1,1,1,0,1,0,37402,1.0,0.36142452275279396,0,5,84,3.4602362533989717,0.0
frozen,read-0125,READ,2065856865,19550.079161540645,132,132,0,0,1,1,1,1,1,3,1,0,1,0,105670,1.0,0.36189079208857766,0,5,88,3.4601565312733182,0.0
frozen,read-0126,READ,2065857146,18131.25572455437,139,140,0,0,1,1,1,1,1,3,1,0,1,0,113939,1.0,0.3643177489709406,0,5,87,3.4601388733389293,0.0
frozen,read-0127,READ,2065857123,18540.004873145648,134,134,0,0,1,1,1,1,1,3,1,0,1,0,111427,1.0,0.3646423218788983,0,5,98,3.4601403574469716,0.0
frozen,read-0128,READ,2054775416,51670.36527774285,133,133,0,0,0,0,0,1,1,1,1,0,1,0,39767,1.0,0.36703799632861417,0,6,101,3.459981268841442,0.0
frozen,read-0129,READ,2054840675,30641.366442492657,130,130,0,0,0,0,0,1,1,1,1,0,1,0,67061,1.0,0.3632066327671821,0,6,94,3.4597876307891813,0.0
frozen,read-0130,READ,2065850977,27073.95388184106,130,130,0,0,1,1,1,1,1,3,1,0,1,0,76304,1.0,0.36308712518347663,0,6,93,3.4605611399538496,0.0
frozen,read-0131,READ,2053255712,16654.546068053696,128,129,0,0,0,0,0,1,1,1,1,0,1,0,123285,1.0,0.3619093969258223,0,5,109,3.4596351765100026,0.0
frozen,read-0132,READ,2053339233,15477.392516601718,133,134,0,0,1,1,1,1,1,1,1,0,1,0,132667,1.0,0.3636473275192776,0,5,124,3.4597401536919095,0.0
frozen,read-0133,READ,2054775418,13947.607048553838,132,132,0,0,0,0,0,1,1,1,1,0,1,0,147321,1.0,0.364340453838896,0,5,94,3.4595855351035705,0.0
frozen,read-0134,READ,2065851513,11720.079385701156,131,131,0,0,1,1,1,1,1,3,1,0,1,0,176266,1.0,0.3630649132561016,0,5,106,3.460052399368761,0.0
frozen,read-0135,READ,2054710066,16102.112503428549,132,132,0,0,0,0,0,1,1,1,1,0,1,0,127605,1.0,0.36169429097605893,0,6,91,3.4596082060005955,0.0
